transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
na-a.me-lu-uk-ra,mE,of.long.days,naameluukra,1,,noun,nan.meluk.ra,,,"<qt>na-<font color=""#690000"">a</font>.<font color=""#9b0000"">me</font>-<font color=""#690000"">lu</font>-<font color=""#9b0000"">uk</font>-<font color=""#690000"">ra</font></qt>",,
na.me-lu-uk-ra,mE,of.long.days,nameluukra,1,,noun,nan.meluk.ra,,,,,
na-an,"nE, achE",speak-ACT.PTCP,naan,1,,noun,,,,"<qt>na-<font color=""#c30000"">an</font></qt>",,
na-an-gi,achE,speak-ACT.PTCP-1SG.AGR,naangi,1,,noun,,Sg.,1st,"<qt>na-<font color=""#c30000"">an</font>-<font color=""#9b0000"">gi</font></qt>",,
d.na-an,achE,day,naan,1,,noun,,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#c30000"">an</font></qt>",,
hh.na-an-ki-tam6,achE,,naankitam6,,,noun,,,,"<qt><font color=""#9b0000"">hh</font>.na-<font color=""#c30000"">an</font>-<font color=""#690000"">ki</font>-tam<sub><small>6</small></sub></qt>",,
d.na-an-me,achE,,naanme,,,noun,2.na-an,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#c30000"">an</font>-<font color=""#9b0000"">me</font></qt>",,
d.na-an.hh.nu-iš-ki-ra,achE,,naannuis~kira,,,noun,,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#c30000"">an</font>.<font color=""#9b0000"">hh</font>.nu-iš-<font color=""#690000"">ki</font>-<font color=""#690000"">ra</font></qt>",,
d.na-ap,achE,god,naap,1,,noun,,Sg.,3rd Anim.,"<qt><font color=""#c30000"">d</font>.na-<font color=""#9b0000"">ap</font></qt>",,
2.d.na-ap,"nE, achE",god-PL,naap,1,,noun,,Pl.,3rd Anim.,"<qt><font color=""#c30000"">d</font>.na-<font color=""#9b0000"">ap</font></qt>",,
na-ap.ba-ha-ap-pi,mE,god-good-PL,naapbahaappi,1,,noun,,Pl.,3rd Anim.,"<qt>na-<font color=""#9b0000"">ap</font>.<font color=""#9b0000"">ba</font>-<font color=""#690000"">ha</font>-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font></qt>",,
