transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
man-ir-tan-na,achE,,manirtanna,,,adjective,man-ir-kut-tin-na,,,"<qt><font color=""#690000"">man</font>-ir-<font color=""#c30000"">tan</font>-na</qt>",,
man-ni-ki-tin-na,achE,,mannikitinna,,,adjective,"kut-tin-na, man-ir-kut-tin-na",,,"<qt><font color=""#690000"">man</font>-<font color=""#c30000"">ni</font>-<font color=""#690000"">ki</font>-<font color=""#9b0000"">tin</font>-na</qt>",,
ma-nu-ya,achE,vahyah,manuya,,vahyah,adjective,,,,"<qt><font color=""#b40000"">ma</font>-nu-<font color=""#9b0000"">ya</font></qt>",,
mar-be-ip,achE,all-PL-PL,marbeip,1,,adjective,mar-ri-be-ip,Sg.,1st,"<qt><font color=""#9b0000"">mar</font>-<font color=""#de0000"">be</font>-<font color=""#690000"">ip</font></qt>",,
2.ma-ri,achE,varya,mari,,varya,adjective,ma-ri-ya,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">ri</font></qt>",,
2.ma-ri-iš,achE,varya-š,mariis~,,varya,adjective,ma-ri-ya,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">ri</font>-iš</qt>",,
ma-ri-ya,achE,varya,mariya,,varya,adjective,"2.ma-ri, ma-ri-iš, ma-ri-ya-um",,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ya</font></qt>",,
ma-ri-ya-um,achE,varya-m,mariyaum,,varya,adjective,ma-ri-ya,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ya</font>-<font color=""#690000"">um</font></qt>",,
máš-na,achE,,mas~na,,,adjective,,,,"<qt><font color=""#690000"">máš</font>-na</qt>",,
maš-šá,achE,future,mas~s~a,1,,adjective,me-šá,,,"<qt><font color=""#de0000"">maš</font>-<font color=""#c30000"">šá</font></qt>",,
máš-te-na,nE,mašte-na,mas~tena,,,adjective,,,,"<qt><font color=""#690000"">máš</font>-te-na</qt>",,-na
ma-ud-da,achE,,maudda,,,adjective,ma-at,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font></qt>",,
ma-ut-qa-na,achE,,mautqana,,,adjective,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#d50000"">ut</font>-<font color=""#9b0000"">ka<small>4</small></font>-na</qt>",,
me-el-qa-an,mE,damage-ACT.PTCP,meelqaan,,,adjective,me-el-qa-an-ra,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">me</font>-<font color=""#9b0000"">el</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#c30000"">an</font></qt>",,-an
me-el-qa-an-ra,mE,damage-ACT.PTCP-3SG.AGR,meelqaanra,,,adjective,me-el-ka-an-ra,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">me</font>-<font color=""#9b0000"">el</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#c30000"">an</font>-<font color=""#690000"">ra</font></qt>",,-n-
me-ir,oE,rule??-SG,meir,,,adjective,,,,"<qt><font color=""#9b0000"">me</font>-ir</qt>",,
