transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
la-an-si-ti-ya-ma-ma,mE,gold-ya-LOC-LOC,laansitiyamama,,,,,,,,,
i-ti-ya-ra,mE,3SG-other2-3SG.AGR,itiyara,,,,,,,,,
in-hal-pu-h,mE,3SG.ACC-smite-1SG,inhalpuh,,,,,,,,,
v.šu-ut-ru-uk.d.nah-hu-un-te-me,mE,Šutruk-Nahhunte-INANIM.AGR,s~uutruuknahhuunteme,,,,,,,,,
v.ku-ti-ir.d.nah-hu-un-te-me,mE,Kutir-Nahhunte-INANIM.AGR,gutiirnahhuunteme,,,,,,,,,
in-tu-ur-na,mE,3SG.ACC-for-GEN?,intuurna,,,,,,,,,
v.ku-ti-ir.d.nah-hu-un-te-ik,mE,Kutir-Nahhunte-1SG.AGR,gutiirnahhuunteik,,,,,,,,,
ir-ha-ni-iš-ri,mE,3SG-love-3SG-3SG.AGR,irhaniis~ri,,,,,,,,,
f.ba-ar.d.ú-li-me,mE,Bar-Uli-INANIM.AGR,baarulime,,,,,,,,,
ha-ap-hu-me,mE,hear-1PL-INANIM.AGR,haaphume,,,,,,,,,
in-táh-ha-at-na,mE,3SG.ACC-bring-here-2SG.AGR-OPT,intahhaatna,,,,,,,,,
i-táh-ha-at,mE,3SG-bring-here-IMP,itahhaat,,,,,,,,,
v.šil-ha-ha-me,mE,Silhaha-INANIM.AGR,s~ilhahame,,,,,,,,,
in-ku-ba-hu-na,mE,3SG.ACC-put.up-1PL-na,inkubahuna,,,,,,,,,
i-si-ra-áš-pi-na,mE,3SG-hang-3SG-OPT,isiraas~pina,,,,,,,,,
in-gi-ri-na,mE,3SG.ACC-vow-GEN,ingirina,,,,,,,,,
ti-ik-gi-e,mE,want-1SG.AGR-3SG.POSS,diikgie,,,,,,,,,
ik-ti-ú,mE,ikti-1SG,iktiu,,,,,,,,,
ik-ti-ú-me,mE,ikti-1SG-INANIM.AGR,iktiume,,,,,,,,,
ku-ni-en-ni,mE,kune-GEN,gunienni,,,,,,,,,
šu-ru-ni,mE,benefit-GEN,s~uruni,,,,,,,,,
i-hu-ut-ta-ak-na,mE,3SG-make-PASS.PTCP-FUT?,ihuuttaakna,,,,,,,,,
tu4-ru-uk-me,mE,say-PASS.PTCP-INANIM.AGR,duruukme,,,,,,,,,
ú-gi-el-at-ti,mE,1SG-command-2SG,ugielatti,,,,,,,,,
i-na-at-ti-it,mE,3SG-destroy-2SG,inaattiit,,,,,,,,,
i-gi-ri-ma,mE,3SG-vow-LOC,igirima,,,,,,,,,
hu-ut-ha-li-ik-pi-ú,mE,image-PL-1SG,huuthaliikpiu,,,,,,,,,
hu-ut-ha-li-ik-pi-ú-me,mE,image-PL-1SG-INANIM.AGR,huuthaliikpiume,,,,,,,,,
h.si-ya-an-ma,mE,Siyan-LOC,siyaanma,,,,,,,,,
ha-tam5-ti-ip-ni,mE,Elam-3PL.AGR-GEN,hatamtiipni,,,,,,,,,
in-qa-az-za-ak-na,mE,3SG.ACC-strike-PASS.PTCP-GEN??,inqaazzaakna,,,,,,,,,
i-ku-tu-uš-na,mE,3SG-preserve-3SG-OPT,ikutuus~na,,,,,,,,,
ir-na-at-ti-it,mE,3SG-destroy-2SG,irnaattiit,,,,,,,,,
ir-na-at-ti-h,mE,3SG-destroy-1SG,irnaattih,,,,,,,,,
i-tu-um-ba-h,mE,3SG-grant-1SG,ituumbah,,,,,,,,,
i-ha-ra-h,mE,3SG-press2-1SG,iharah,,,,,,,,,
ir-pu-ut-táh,mE,3SG-drive-1SG,irpuuttah,,,,,,,,,
ir-pa-ri-h,mE,3SG-go-1SG,irparih,,,,,,,,,
ir-li-h,mE,3SG-give2-1SG,irlih,,,,,,,,,
ir-ba-li-be,mE,3SG-pali-PL,irbalibe,,,,,,,,,
ha-ta-am-ti-ik,mE,Elam-1SG.AGR,hataamtiik,,,,,,,,,
la-ha-ak-ra-me,nE,bring.in-PASS.PTCP-SG-INANIM.AGR,lahaakrame,,,,,,,,,
v.hu-te-lu-du-uš.d.in-šu-ši-na-ak-me,mE,Huteluduš-Inšušinak-INANIM.AGR,huteluduus~ins~us~inaakme,,,,,,,,,
na-ap-pi-ir-ra-me,mE,god-3SG.AGR-INANIM.AGR,naappiirrame,,,,,,,,,
v.šil-ha-ak.d.in-su-uš-na-ak-gi,mE,Šilhak-Inšušinak-1SG.AGR,s~ilhaakinsuus~naakgi,,,,,,,,,
v.šil-ha-ak.d.in-su-uš-na-ak-gi-ik,mE,Šilhak-Inšušinak-1SG.AGR-1SG.AGR,s~ilhaakinsuus~naakgiik,,,,,,,,,
ha-ta-am-ti-ir-me,mE,Elam-SG-INANIM.AGR,hataamtiirme,,,,,,,,,
ha-ta-am-ti-ir-me-ma,mE,Elam-SG-INANIM.AGR-LOC,hataamtiirmema,,,,,,,,,
te-ni,mE,also2-GEN,deni,,,,,,,,,
ni-qa-me-ma,mE,1PL-INANIM.AGR-LOC,niqamema,,,,,,,,,
ir-ma-an-ri,mE,3SG-power-SG,irmaanri,,,,,,,,,
ir-hi-ša-an-ri,mE,3SG-forget-ACT.PTCP-3SG.AGR,irhis~aanri,,,,,,,,,
ir-ku-ni-ir-ri,mE,3SG-kuni-SG,irkuniirri,,,,,,,,,
d.pi-ni-gìr-mi,nE,Pinengir-INANIM.AGR,binigirmi,,,,,,,,,
su-un-ki-me-na,nE,kingship-GEN,suunkimena,,,,,,,,,
3-e,nE,3-3SG.POSS,e,,,,,,,,,
il.lg-e,nE,«IL»-3SG.POSS,ile,,,,,,,,,
v.šu-ut-ru-uk.d.nah-hu-un-te-na,nE,Šutruk-Nahhunte-GEN,s~uutruuknahhuuntena,,,,,,,,,
in-du-nu-un-ku-mar,nE,3SG.ACC-give-ACT.PCTP-1SG-mar,indunuunkumar,,,,,,,,,
i-ha-ra-ak,nE,3SG-press2-PASS.PTCP,iharaak,,,,,,,,,
i-tu-um-ba-ka4,nE,3SG-grant-PASS.PTCP,ituumbaka4,,,,,,,,,
te-en-na,nE,lenient-GEN,deenna,,,,,,,,,
si-pa-ak-ir-ra-na,nE,favour-PASS.PTCP-3SG.AGR-GEN,sipaakirrana,,,,,,,,,
šà-ra-ir-ra-na,nE,under-3SG.AGR-GEN,s~arairrana,,,,,,,,,
ú-táh-ha-na,nE,1SG-help-n??,utahhana,,,,,,,,,
su-ul-ra-ir-ra-na,nE,splendid?-GEN,suulrairrana,,,,,,,,,
da-ri-ra-na,nE,ally-SG-GEN,darirana,,,,,,,,,
ú-da-ri-ra-na,nE,1SG-ally-SG-GEN,udarirana,,,,,,,,,
ú-ki-ni-na,nE,1SG-kin-na,ukinina,,,,,,,,,
pa-bi-ki-e,nE,booty-3SG.POSS,babikie,,,,,,,,,
i-ka4-tu-h,nE,3SG-crown-1SG,ikatuh,,,,,,,,,
d.na-ap-pír-ra-na,nE,god-3SG.AGR-GEN,naappirrana,,,,,,,,,
d.DIL.BAD-na,nE,Venus-GEN,dilbadna,,,,,,,,,
ir-šá-ra-ra,nE,3SG-under-3SG.AGR,irs~arara,,,,,,,,,
h.tar-ri-šá-ik-ki,nE,Tarriša-at,darris~aikki,,,,,,,,,
h.tar-ri-šá-ik-ki-ha,nE,Tarriša-at-1SG.AGR,darris~aikkiha,,,,,,,,,
ú-táh-ha-ak-ni,nE,1SG-bring-PASS.PTCP-OPT,utahhaakni,,,,,,,,,
h.KUR.pè-e-si-ik-ki,nE,Bēzi-at,beesiikki,,,,,,,,,
h.KUR.pè-e-si-ik-ki-ha,nE,Bēzi-at-1SG.AGR,beesiikkiha,,,,,,,,,
d.pár-ti-na,nE,Mašti-GEN,bartina,,,,,,,,,
ku-tu-iš-da-na,nE,preserve-3SG-da-GEN,gutuis~dana,,,,,,,,,
na-pír-ú-ri-na,nE,god-1SG-3SG.AGR-GEN,napirurina,,,,,,,,,
d.MÙŠ.LAM-h-ha-an,nE,Inšušinak-1SG.AGR,mus~lamhhaan,,,,,,,,,
d.MÙŠ.LAM-na,nE,Inšušinak-GEN,mus~lamna,,,,,,,,,
i-du-nu-h,nE,3SG-give-1SG,idunuh,,,,,,,,,
i-du-nu-iš-da,nE,3SG-give-3SG-da,idunuis~da,,,,,,,,,
da-ak-ki-me-na,nE,life-GEN,daakkimena,,,,,,,,,
i-hu-šu-na,nE,3SG-reward?-GEN,ihus~una,,,,,,,,,
