transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
a-lu-mi-im-ma,,ālu-LOC,alumiimma,,ālu,other,,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">lu</font>-mi-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font></qt>",,
am,"mE, nE, achE",now,am,17,,other,a-am,,,<qt>am</qt>,,
ut-ti-man?,nE,,uttiman,,,other,,,,"<qt><font color=""#d50000"">ut</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">man</font></qt>",,
ut-tuk-qa,achE,make-PASS.PTCP,uttukqa,,,other,hu-ut-tuk-qa,,,"<qt><font color=""#d50000"">ut</font>-<font color=""#b40000"">tuk</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,-ka
am-da,achE,,amda,2,,other,,,,"<qt>am-<font color=""#9b0000"">da</font></qt>",,
d.A.MEŠ.šá-ir-k[i-um],,Manšairki,ames~s~airkium,1,,other,d.ma-šá-ir-ki,Sg.,1st,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">A</font>.<font color=""#690000"">MEŠ</font>.<font color=""#c30000"">šá</font>-ir-<font color=""#690000"">ki</font>-<font color=""#690000"">um</font></qt>",month,
hh.am-ma?-du-man-ya,achE,amātavanya,ammadumanya,1,amātavanya,other,,,,"<qt><font color=""#9b0000"">hh</font>.am-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">du</font>-<font color=""#690000"">man</font>-<font color=""#9b0000"">ya</font></qt>",,
-me,,'th,me,1,,other,"-um-me, -um-me-ma, mu-ši-um-me",,,"<qt>-<font color=""#9b0000"">me</font></qt>",,
ME,"nE, achE",100,me,2,,other,,,,,,
2.-me,"oE, mE, nE, achE",INANIM.AGR,me,1,,other,,,3rd Inanim.,,,
am-mi-ri-na,nE,,ammirina,,,other,,,,"<qt>am-mi-<font color=""#9b0000"">ri</font>-na</qt>",,
-am-me-man-na,achE,'th,ammemanna,2,,other,-um-me-man-na,,,"<qt>-am-<font color=""#9b0000"">me</font>-<font color=""#690000"">man</font>-na</qt>",,
te?-en?.lg,mE,,deen,1,,other,,,,"<qt>te-<font color=""#690000"">en</font>.<font color=""#690000"">lg</font></qt>",,
te?-mu?-ku?-[x]-un?,achE,,demukuun,,,other,,,,"<qt>te-<font color=""#690000"">mu</font>-<font color=""#d50000"">ku</font>-<font color=""#9b0000"">x</font>-<font color=""#b40000"">un</font></qt>",,
te-nu-mi-x,mE,,denumi,,,other,,,,"<qt>te-nu-mi-<font color=""#9b0000"">x</font></qt>",,
am-tar?-šá-[…],achE,,amtars~a,,,other,,,,"<qt>am-<font color=""#c30000"">tar</font>-<font color=""#c30000"">šá</font>-<font color=""#9b0000"">…</font></qt>",,
an,achE,,an,2,,other,,,,"<qt><font color=""#c30000"">an</font></qt>",,
am-ri,mE,amri,amri,2,,other,,,,"<qt>am-<font color=""#9b0000"">ri</font></qt>",,
-an,,LOC2,an,1,,other,"h.ba-ir-iš-šá-an, h.ba-ir-šá-an, h.ba-ra-iš-šá-an, h.bar-ma-da-na-an, h.bar-mi-iz-za-an, h.tam5-qa-an",,,"<qt>-<font color=""#c30000"">an</font></qt>",,
an-da,nE,anda-RED,anda,1,,other,,,,"<qt><font color=""#c30000"">an</font>-<font color=""#9b0000"">da</font></qt>",,
