transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
si-maš-gi.KI,oE,,simas~giki,,,GN,si-ma-aš-ki,,,"<qt><font color=""#690000"">si</font>-<font color=""#de0000"">maš</font>-<font color=""#9b0000"">gi</font>.<font color=""#690000"">KI</font></qt>",location,
URU.si-maš.d.za-ba4-ba4.LAGAB,oE,,simas~zababalagab,,,GN,si-ma-aš-ki,,,"<qt><font color=""#690000"">URU</font>.<font color=""#690000"">si</font>-<font color=""#de0000"">maš</font>.<font color=""#c30000"">d</font>.<font color=""#690000"">za</font>-<font color=""#9b0000"">ba<sub><small>4</small></sub></font>-<font color=""#9b0000"">ba<sub><small>4</small></sub></font>.<font color=""#00ff00"">LAGAB</font></qt>",city,
ú-li-me,oE,,ulime,,,GN,,,,"<qt><font color=""#9b0000"">ú</font>-li-<font color=""#9b0000"">me</font></qt>",location,
h.si-qa-hu-ut-ti-iš,achE,ϑikayutiš,siqahuuttiis~,,ϑikayutiš,GN,h.ši-ik-ki-ú-ma-ti-iš,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">si</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#d50000"">hu</font>-<font color=""#d50000"">ut</font>-<font color=""#690000"">ti</font>-iš</qt>",location,
sir?-la-ar.KI,oE,,sirlaarki,,,GN,,,,"<qt><font color=""#690000"">sir</font>-la-ar.<font color=""#690000"">KI</font></qt>",location,
h.sir-ra-kaš,achE,Drangiana-š,sirrakas~,,zranka,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">sir</font>-<font color=""#690000"">ra</font>-<font color=""#de0000"">kaš</font></qt>",location,
h.sir-ra-mi-iz-za,achE,,sirramiizza,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">sir</font>-<font color=""#690000"">ra</font>-mi-<font color=""#b40000"">iz</font>-<font color=""#690000"">za</font></qt>",location,
h.sir-šá-ma,achE,,sirs~ama,,,GN,h.sir-šá-ma-ut-ti-iš,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">sir</font>-<font color=""#c30000"">šá</font>-<font color=""#b40000"">ma</font></qt>",location,
h.sir-šá-ma-ut-ti-iš,achE,,sirs~amauttiis~,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">sir</font>-<font color=""#c30000"">šá</font>-<font color=""#b40000"">ma</font>-<font color=""#d50000"">ut</font>-<font color=""#690000"">ti</font>-iš</qt>",location,
h.sir-zí-iš,achE,δirāčiš,sirziis~,,δirāčiš,GN,h.ti-ra-iz-zí-iš,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">sir</font>-<font color=""#690000"">zí</font>-iš</qt>",location,
h.si-ya-an,mE,Siyan,siyaan,1,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">si</font>-<font color=""#9b0000"">ya</font>-<font color=""#c30000"">an</font></qt>",location,
URU.su-ba-hi-e,nA,,subahie,,,GN,,,,"<qt><font color=""#690000"">URU</font>.<font color=""#690000"">su</font>-<font color=""#9b0000"">ba</font>-<font color=""#c30000"">hi</font>-<font color=""#690000"">e</font></qt>",city,
h.su-iz-za,achE,zūzahya,suizza,,zūzahya,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">su</font>-<font color=""#b40000"">iz</font>-<font color=""#690000"">za</font></qt>",location,
h.su-lu-šu-na,achE,,sulus~una,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">su</font>-<font color=""#690000"">lu</font>-<font color=""#9b0000"">šu</font>-na</qt>",location,
URU.su-mu-un-tu-na-áš,nE,,sumuuntunaas~,,,GN,,,,"<qt><font color=""#690000"">URU</font>.<font color=""#690000"">su</font>-<font color=""#690000"">mu</font>-<font color=""#b40000"">un</font>-tu-na-<font color=""#9b0000"">áš</font></qt>",city,
sur-gu-la,oE,,surgula,,,GN,,,,"<qt><font color=""#00ff00"">sur</font>-<font color=""#690000"">gu</font>-la</qt>",location,
su-sín-na,oAkk,Susa,susinna,,,GN,,,,"<qt><font color=""#690000"">su</font>-<font color=""#00ff00"">sín</font>-na</qt>",location,
v.su-uk-du,oE,,suukdu,,,GN,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">su</font>-<font color=""#9b0000"">uk</font>-<font color=""#9b0000"">du</font></qt>",location,
2.v.šá-ak-qa,achE,Scythia,s~aakqa,5,sakā,GN,v.šá-ak-qa,Pl.,3rd Anim.,"<qt><font color=""#690000"">v</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
h.šá-ak-qa,achE,Scythia,s~aakqa,1,saka,GN,hh.šà-qa-iš,,,"<qt><font color=""#c30000"">h</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",man,
[v.š]a-al-gu,oE,,s~aalgu,,,GN,,,,"<qt><font color=""#690000"">v</font>.ša-al-<font color=""#690000"">gu</font></qt>",location,
h.ša.al-t[a-…],mE,,s~aalta,,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.al-ta-<font color=""#9b0000"">…</font></qt>",location,
h.ša-an-pi-ma,mE,šanpima,s~aanpima,1,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša-<font color=""#c30000"">an</font>-<font color=""#de0000"">pi</font>-<font color=""#b40000"">ma</font></qt>",location,
h.ša.ARAD.e.gal-li,mE,Ša-arad-ekalli,s~aaradegalli,1,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#b40000"">ARAD</font>.<font color=""#690000"">e</font>.<font color=""#c30000"">gal</font>-li</qt>",location,
ša-at-ra-ak,mE,Šatrak,s~aatraak,1,,GN,,,,"<qt>ša-<font color=""#690000"">at</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">ak</font></qt>",location,
ša.at-ta.mi-ti-ik,mE,,s~aattamitiik,,,GN,at-ta.ha-mi-ti,,,"<qt>ša.<font color=""#690000"">at</font>-ta.mi-<font color=""#690000"">ti</font>-<font color=""#c30000"">ik</font></qt>",location,
h.ša.at-ta-ta.gal-li.ik-ru-up,mE,,s~aattatagalliikruup,1,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#690000"">at</font>-ta-ta.<font color=""#c30000"">gal</font>-li.<font color=""#c30000"">ik</font>-<font color=""#b40000"">ru</font>-<font color=""#690000"">up</font></qt>",location,
ša.at-ta-ta.mi-ti-ik,mE,Ša-Atta-Mitik,s~aattatamitiik,,,GN,ša.at-ta.mi-ti-ik,,,"<qt>ša.<font color=""#690000"">at</font>-ta-ta.mi-<font color=""#690000"">ti</font>-<font color=""#c30000"">ik</font></qt>",location,
