transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
hh.šá-la-ma-na,achE,šalamān,s~alamana,,šalamān,PN,hh.šá-la-ma-an-na,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-la-<font color=""#b40000"">ma</font>-na</qt>",man,
v.ša-la.mi-ri-iš,achE,Šala-miriš,s~alamiriis~,,,PN,,Sg.,3rd Anim.,"<qt><font color=""#690000"">v</font>.ša-la.mi-<font color=""#9b0000"">ri</font>-iš</qt>",man,
šà-la-šu?-te,oE,,s~alas~ute,,,PN,,,,"<qt><font color=""#b40000"">šà</font>-la-<font color=""#9b0000"">šu</font>-te</qt>",man,
šal-la,oE,,s~alla,,,PN,,,,"<qt><font color=""#e10000"">šal</font>-la</qt>",man,
šà-ma-a-a-ú,oE,,s~amaaau,,,PN,,,,"<qt><font color=""#b40000"">šà</font>-<font color=""#b40000"">ma</font>-<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#9b0000"">ú</font></qt>",man,-u
šà-ma-a'-gu-nu,nE,šama-agun,s~amaa'gunu,,šà-ma-a',PN,sa-am-gu-nu,,,"<qt><font color=""#b40000"">šà</font>-<font color=""#b40000"">ma</font>-<font color=""#c30000"">a'</font>-<font color=""#690000"">gu</font>-nu</qt>",man,
f.šá-ma-ak-ti-iš,achE,çavahaxti-š,s~amaaktiis~,,çavahaxti,PN,,,,"<qt><font color=""#e10000"">f</font>.<font color=""#c30000"">šá</font>-<font color=""#b40000"">ma</font>-<font color=""#690000"">ak</font>-<font color=""#690000"">ti</font>-iš</qt>",woman,
hh.šá-ma-iš-ki-ra,achE,šamaš-gerra,s~amais~kira,,šamaš-gerra,PN,hh.šá-maš-ki-ra,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#b40000"">ma</font>-iš-<font color=""#690000"">ki</font>-<font color=""#690000"">ra</font></qt>",man,
hh.šá-man,achE,,s~aman,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">man</font></qt>",man,
hh.šá-man-da,achE,savanta,s~amanda,,savanta,PN,hh.sa-man-da,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">man</font>-<font color=""#9b0000"">da</font></qt>",man,
h.šá-maš.ad-du,,šamaš-father-1SG.AGR,s~amas~addu,,šamaš,PN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#c30000"">šá</font>-<font color=""#de0000"">maš</font>.<font color=""#690000"">ad</font>-<font color=""#9b0000"">du</font></qt>",man,
hh.šá-ma-ši-qa,achE,çavasixa,s~amas~iqa,,çavasixa,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#b40000"">ma</font>-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",man,
hh.šá-maš-ki-ra,achE,šamaš-gerra,s~amas~kira,,šamaš-gerra,PN,hh.šá-ma-iš-ki-ra,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#de0000"">maš</font>-<font color=""#690000"">ki</font>-<font color=""#690000"">ra</font></qt>",man,
šà-ma-ù-ti,oE,,s~amauti,,,PN,,,,"<qt><font color=""#b40000"">šà</font>-<font color=""#b40000"">ma</font>-ù-<font color=""#690000"">ti</font></qt>",man,
hh.šá-mi-iš-šu-na,achE,šamaš-šuma,s~amiis~s~una,,"šamaš-šuma, šamšōn",PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-mi-iš-<font color=""#9b0000"">šu</font>-na</qt>",man,
hh.šá-mu?-ra,achE,,s~amura,,,PN,šam.u.ri,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">mu</font>-<font color=""#690000"">ra</font></qt>",man,
hh.šá-na-ra,achE,ǰannara,s~anara,,ǰannara,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-na-<font color=""#690000"">ra</font></qt>",man,
v.šá-nu-ú-mu-ú,nB,,s~anuumuu,,,PN,,,,"<qt><font color=""#690000"">v</font>.<font color=""#c30000"">šá</font>-nu-<font color=""#9b0000"">ú</font>-<font color=""#690000"">mu</font>-<font color=""#9b0000"">ú</font></qt>",man,
hh.šap6-mi-iz-za,achE,,s~ap6miizza,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#00ff00"">šap<sub><small>6</small></sub></font>-mi-<font color=""#b40000"">iz</font>-<font color=""#690000"">za</font></qt>",man,
